# k	cb	gl	xy
1	0.177902	1.98374	0.914492
2	0.171874	1.40057	0.607601
3	0.109277	1.22786	0.506944
4	0.108925	0.822002	0.379033
5	0.0705054	0.642692	0.281387
6	0.0498546	0.525281	0.218238
7	0.0444798	0.459612	0.185022
8	0.0337676	0.344105	0.154393
9	0.0240218	0.297002	0.145362
10	0.0174241	0.263576	0.145236
11	0.017094	0.262419	0.0903216
12	0.0156454	0.145091	0.078509
13	0.00929352	0.14018	0.0733721
14	0.0092464	0.1002	0.0546935
15	0.00776698	0.0859099	0.0368589
16	0.00535683	0.0825646	0.0368354
17	0.00492069	0.0611997	0.0342167
18	0.00422902	0.0528933	0.0230984
19	0.00390532	0.040798	0.0195486
20	0.00291969	0.0392733	0.0176286
