# k	cb	gl	xy
1	0.184961	2.14301	0.984574
2	0.182913	1.62257	0.713474
3	0.148081	1.54074	0.652673
4	0.147614	1.51481	0.651733
5	0.13138	1.23519	0.548774
6	0.131488	1.22998	0.541875
7	0.13531	1.20673	0.524117
8	0.135354	1.20548	0.525001
9	0.137257	1.14737	0.509986
10	0.13837	1.14993	0.512385
11	0.137399	1.19342	0.518581
12	0.13935	1.1652	0.519164
13	0.140316	1.18787	0.516673
14	0.138271	1.20107	0.519038
15	0.139038	1.19606	0.53251
16	0.139935	1.21333	0.543858
17	0.138619	1.23453	0.550427
18	0.137291	1.26013	0.560419
19	0.138142	1.28074	0.565711
20	0.137309	1.29618	0.579013
