# k	cb	gl	xy
1	0.11203	0.122388	0.1178
2	0.110789	0.0926651	0.0853642
3	0.0896918	0.0879919	0.0780896
4	0.0894091	0.0865111	0.0779771
5	0.0795758	0.070542	0.0656585
6	0.0796417	0.0702447	0.0648331
7	0.0819564	0.0689166	0.0627084
8	0.0819832	0.068845	0.0628142
9	0.0831355	0.0655266	0.0610177
10	0.0838097	0.0656729	0.0613048
11	0.0832214	0.0681564	0.0620461
12	0.0844031	0.0665449	0.0621158
13	0.0849887	0.0678395	0.0618178
14	0.08375	0.0685936	0.0621007
15	0.0842146	0.0683075	0.0637126
16	0.084758	0.0692937	0.0650703
17	0.0839605	0.070504	0.0658563
18	0.0831565	0.0719661	0.0670518
19	0.0836718	0.0731435	0.067685
20	0.0831671	0.0740251	0.0692765
