# k	cb	gl	xy
1	0.172186	1.79452	0.790671
2	0.17217	1.76327	0.762537
3	0.170706	1.66588	0.746444
4	0.170591	1.43184	0.621279
5	0.132183	1.18032	0.498222
6	0.091758	1.17657	0.497472
7	0.0879824	1.04513	0.438766
8	0.0744259	0.923263	0.40446
9	0.0736471	0.704955	0.32381
10	0.0697254	0.556493	0.26027
11	0.061634	0.544665	0.244557
12	0.0472249	0.493202	0.231472
13	0.0469244	0.425728	0.165469
14	0.0375852	0.423136	0.160363
15	0.0295392	0.417419	0.148542
16	0.0282694	0.279289	0.121716
17	0.0233547	0.278916	0.0971891
18	0.0216939	0.228908	0.0881146
19	0.0147319	0.195462	0.0742285
20	0.0123164	0.150635	0.0700622
