# k	cb	gl	xy
1	0.104292	0.102486	0.0946005
2	0.104282	0.100701	0.0912344
3	0.103395	0.095139	0.0893089
4	0.103326	0.0817728	0.0743335
5	0.0800622	0.0674084	0.0596102
6	0.0555772	0.0671942	0.0595205
7	0.0532904	0.0596876	0.0524966
8	0.0450793	0.0527278	0.048392
9	0.0446076	0.0402601	0.0387425
10	0.0422322	0.0317814	0.0311403
11	0.0373313	0.031106	0.0292602
12	0.0286038	0.0281669	0.0276947
13	0.0284218	0.0243134	0.0197977
14	0.0227651	0.0241654	0.0191868
15	0.0178917	0.0238389	0.0177725
16	0.0171226	0.0159502	0.0145628
17	0.0141458	0.015929	0.0116283
18	0.0131399	0.013073	0.0105426
19	0.00892301	0.0111629	0.00888113
20	0.00745996	0.00860281	0.00838266
