# k	cb	gl	xy
1	0.177716	1.85193	0.821213
2	0.184928	1.83012	0.795105
3	0.181828	1.90076	0.851744
4	0.189264	1.63651	0.731852
5	0.157892	1.33433	0.553726
6	0.127878	1.34268	0.560712
7	0.137803	1.34653	0.590737
8	0.143441	1.37633	0.638663
9	0.146788	1.31345	0.610861
10	0.149701	1.30524	0.627874
11	0.164166	1.31009	0.644824
12	0.166129	1.38091	0.664813
13	0.159397	1.41699	0.702014
14	0.170717	1.42487	0.702777
15	0.178191	1.49109	0.734678
16	0.181762	1.60962	0.782996
17	0.183756	1.64003	0.815548
18	0.186858	1.65528	0.819646
19	0.185376	1.6682	0.831833
20	0.185431	1.73504	0.859842
