# k	cb	gl	xy
1	0.107641	0.105764	0.0982547
2	0.11201	0.104519	0.095131
3	0.110132	0.108553	0.101908
4	0.114636	0.0934612	0.0875631
5	0.0956344	0.0762039	0.0662511
6	0.077455	0.0766807	0.0670869
7	0.0834666	0.0769006	0.0706792
8	0.0868813	0.0786025	0.0764134
9	0.0889083	0.0750116	0.073087
10	0.0906728	0.0745424	0.0751226
11	0.0994344	0.0748196	0.0771505
12	0.100623	0.0788643	0.0795422
13	0.0965457	0.0809247	0.083993
14	0.103402	0.0813746	0.0840843
15	0.107929	0.0851565	0.0879012
16	0.110092	0.0919259	0.0936822
17	0.1113	0.0936627	0.0975769
18	0.113178	0.0945334	0.0980672
19	0.112281	0.0952711	0.0995254
20	0.112314	0.0990882	0.102876
