# k	cb	gl	xy
1	0.171566	1.8516	0.806284
2	0.163303	1.54008	0.650883
3	0.120209	1.41728	0.554435
4	0.115131	1.146	0.461179
5	0.0896877	0.855275	0.309077
6	0.0893289	0.648122	0.275902
7	0.0470628	0.367689	0.158654
8	0.0175051	0.343349	0.141868
9	0.0109514	0.244469	0.0793587
10	0.0108637	0.0713859	0.0647565
11	0.00374685	0.0655177	0.0639974
12	0.00348712	0.0509255	0.014168
13	0.00161432	0.0441636	0.0141641
14	0.000782578	0.00990977	0.0138641
15	0.00078207	0.00807749	0.00249222
16	0.000153987	0.00791734	0.00247147
17	0.000122914	0.00167619	0.0024243
18	0.000120774	0.00117371	0.000426414
19	2.61138e-05	0.00112723	0.000418715
20	1.64296e-05	0.00043287	0.00033536
