# k	cb	gl	xy
1	0.103916	0.105745	0.0964685
2	0.0989118	0.0879545	0.0778755
3	0.0728095	0.0809414	0.0663358
4	0.0697343	0.0654483	0.0551781
5	0.0543232	0.048845	0.0369798
6	0.0541059	0.0370144	0.0330105
7	0.0285057	0.0209988	0.0189823
8	0.0106027	0.0196087	0.0169739
9	0.00663322	0.0139617	0.00949493
10	0.00658007	0.00407686	0.00774785
11	0.00226945	0.00374173	0.00765703
12	0.00211212	0.00290837	0.00169514
13	0.000977785	0.00252219	0.00169467
14	0.000474003	0.000565949	0.00165878
15	0.000473695	0.000461307	0.000298184
16	9.32692e-05	0.000452161	0.000295701
17	7.44485e-05	9.57277e-05	0.000290057
18	7.31523e-05	6.70306e-05	5.10186e-05
19	1.5817e-05	6.43761e-05	5.00975e-05
20	9.95132e-06	2.47213e-05	4.01244e-05
