# k	cb	gl	xy
1	0.179492	1.91388	0.838678
2	0.175839	1.72093	0.748869
3	0.169003	1.72207	0.711254
4	0.167103	1.59998	0.672766
5	0.17097	1.68245	0.690809
6	0.170169	1.5653	0.643123
7	0.165618	1.53758	0.642778
8	0.164587	1.51809	0.631762
9	0.163919	1.504	0.621264
10	0.163938	1.50241	0.623726
11	0.163503	1.49927	0.616545
12	0.163631	1.50232	0.616782
13	0.160162	1.48944	0.608812
14	0.158709	1.50412	0.618477
15	0.158467	1.5516	0.635706
16	0.158286	1.58614	0.644612
17	0.158625	1.60075	0.65114
18	0.158635	1.6018	0.65186
19	0.158634	1.60208	0.652199
20	0.158633	1.60228	0.652341
