# k	cb	gl	xy
1	0.108717	0.109302	0.100344
2	0.106505	0.0982824	0.089599
3	0.102364	0.0983478	0.0850986
4	0.101213	0.091375	0.0804937
5	0.103556	0.096085	0.0826524
6	0.10307	0.0893945	0.076947
7	0.100314	0.0878118	0.0769057
8	0.0996892	0.0866983	0.0755877
9	0.0992849	0.0858936	0.0743316
10	0.0992959	0.085803	0.0746262
11	0.0990328	0.0856235	0.073767
12	0.0991102	0.0857979	0.0737954
13	0.0970092	0.0850623	0.0728419
14	0.0961289	0.0859004	0.0739983
15	0.0959827	0.0886123	0.0760596
16	0.0958729	0.090585	0.0771252
17	0.0960782	0.0914192	0.0779062
18	0.0960844	0.0914789	0.0779924
19	0.0960835	0.0914951	0.0780329
20	0.0960832	0.0915066	0.0780499
