# k	cb	gl	xy
1	0.172186	1.79452	0.790667
2	0.17217	1.76325	0.762518
3	0.170704	1.66563	0.746366
4	0.170592	1.43055	0.620703
5	0.132036	1.17894	0.497523
6	0.0893671	1.17519	0.496795
7	0.0849442	1.00297	0.421093
8	0.0742377	0.787491	0.351456
9	0.068129	0.557108	0.261177
10	0.0605745	0.48738	0.232769
11	0.0507852	0.477168	0.214288
12	0.0405864	0.408535	0.196344
13	0.0384077	0.351142	0.14558
14	0.0272429	0.341337	0.142349
15	0.0233577	0.309471	0.095331
16	0.0191451	0.216679	0.0926455
17	0.0170255	0.188371	0.0759472
18	0.00892334	0.186378	0.0702713
19	0.0089132	0.154616	0.0464518
20	0.00808131	0.0876859	0.0462229
