# k	cb	gl	xy
1	0.104292	0.102485	0.0946001
2	0.104282	0.100699	0.0912321
3	0.103395	0.0951243	0.0892995
4	0.103327	0.0816992	0.0742645
5	0.0799734	0.0673295	0.0595266
6	0.0541291	0.0671156	0.0594395
7	0.0514502	0.05728	0.0503821
8	0.0449653	0.0449738	0.0420503
9	0.0412653	0.0318166	0.0312488
10	0.0366896	0.0278344	0.0278498
11	0.0307603	0.0272512	0.0256387
12	0.0245829	0.0233315	0.0234918
13	0.0232633	0.0200538	0.0174181
14	0.0165009	0.0194938	0.0170314
15	0.0141476	0.017674	0.011406
16	0.0115961	0.0123746	0.0110846
17	0.0103122	0.0107579	0.00908677
18	0.00540481	0.0106441	0.00840767
19	0.00539867	0.00883014	0.00555776
20	0.0048948	0.00500776	0.00553038
