# k	cb	gl	xy
1	0.177716	1.85192	0.821209
2	0.184932	1.8301	0.795097
3	0.181828	1.90138	0.852059
4	0.189285	1.63601	0.731592
5	0.157928	1.33429	0.553784
6	0.12743	1.3409	0.56091
7	0.138553	1.35074	0.58522
8	0.142716	1.34648	0.601186
9	0.146977	1.30461	0.570398
10	0.139947	1.25898	0.560932
11	0.151061	1.25586	0.56036
12	0.151092	1.30249	0.595304
13	0.151657	1.3328	0.634333
14	0.164423	1.42696	0.692068
15	0.167154	1.44862	0.703031
16	0.170744	1.47683	0.725441
17	0.171397	1.51734	0.746042
18	0.171053	1.54348	0.753346
19	0.170656	1.56834	0.763614
20	0.169451	1.64193	0.760837
