# k	cb	gl	xy
1	0.107642	0.105764	0.0982542
2	0.112012	0.104518	0.0951301
3	0.110132	0.108588	0.101945
4	0.114649	0.0934329	0.087532
5	0.0956561	0.0762016	0.0662579
6	0.0771835	0.0765791	0.0671106
7	0.0839208	0.0771413	0.0700191
8	0.086442	0.0768976	0.0719294
9	0.0890228	0.0745065	0.0682457
10	0.0847651	0.0719006	0.0671132
11	0.0914965	0.0717225	0.0670448
12	0.0915157	0.0743856	0.0712256
13	0.0918579	0.0761165	0.0758953
14	0.0995897	0.0814938	0.0828031
15	0.101244	0.082731	0.0841147
16	0.103418	0.0843418	0.086796
17	0.103814	0.0866556	0.0892608
18	0.103606	0.0881483	0.0901348
19	0.103365	0.0895682	0.0913632
20	0.102636	0.093771	0.091031
