# k	cb	gl	xy
1	0.182543	2.03023	0.938922
2	0.172763	1.43313	0.636777
3	0.105165	1.36182	0.590234
4	0.0950372	0.890371	0.402945
5	0.0596379	0.888646	0.39761
6	0.0532971	0.708277	0.297621
7	0.0398821	0.70056	0.295673
8	0.037941	0.558581	0.261151
9	0.0351215	0.482968	0.211814
10	0.0351003	0.392616	0.179061
11	0.0339587	0.292509	0.158025
12	0.0264371	0.292002	0.146482
13	0.0257933	0.276735	0.106186
14	0.0236254	0.235459	0.105899
15	0.0190954	0.173252	0.105896
16	0.0188767	0.135954	0.0866327
17	0.0161924	0.134767	0.0773421
18	0.0146166	0.126877	0.0646404
19	0.0131087	0.126254	0.0563282
20	0.00938428	0.118825	0.0549515
