# k	cb	gl	xy
1	0.110329	0.107905	0.10407
2	0.106378	0.0789912	0.0716186
3	0.0665613	0.0699872	0.0597364
4	0.058383	0.0600417	0.0548929
5	0.0405867	0.0389554	0.0366963
6	0.0362315	0.0280981	0.024935
7	0.0265378	0.0275234	0.0241971
8	0.0232607	0.0191112	0.0189058
9	0.0150034	0.0161054	0.0173676
10	0.0106467	0.0155622	0.0165998
11	0.0105811	0.0153016	0.0105974
12	0.00964427	0.0087252	0.0099589
13	0.0056624	0.00820957	0.00953185
14	0.00550793	0.00621889	0.0066476
15	0.00514933	0.00511335	0.00427123
