# k	cb	gl	xy
1	0.189501	2.16879	1.0031
2	0.184284	1.56712	0.704563
3	0.137119	1.56151	0.683439
4	0.137819	1.49372	0.661352
5	0.13878	1.49341	0.654893
6	0.134409	1.4903	0.64905
7	0.134125	1.51442	0.656557
8	0.132837	1.57667	0.677967
9	0.134696	1.62822	0.704274
10	0.133543	1.69114	0.73843
11	0.134778	1.74782	0.760507
12	0.135897	1.75054	0.754899
13	0.139212	1.77667	0.772633
14	0.137601	1.78526	0.775884
15	0.138091	1.81437	0.773473
16	0.139018	1.82151	0.774534
17	0.140671	1.81966	0.770624
18	0.143283	1.84644	0.783035
19	0.144569	1.86508	0.787287
20	0.146006	1.86721	0.781756
