# k	cb	gl	xy
1	0.100591	1.21367	0.619287
2	0.0966734	1.11025	0.453539
3	0.113908	0.941142	0.491035
4	0.200673	2.06344	0.953916
5	0.085034	1.96963	0.806129
6	0.11337	1.07685	0.54395
7	0.162479	2.08456	0.961303
8	0.0914694	0.861832	0.417492
9	0.156946	1.51564	0.707613
10	0.0987348	1.48361	0.596492
11	0.0963688	0.879742	0.433832
12	0.106191	0.941461	0.446116
13	0.0945619	1.23768	0.495311
14	0.106404	0.877874	0.477088
15	0.111174	0.954586	0.490093
16	0.0935602	1.02573	0.449109
17	0.100297	0.898379	0.396107
18	0.118246	0.899604	0.422728
19	0.0942682	0.836368	0.388785
20	0.0889882	0.697451	0.356751
21	0.145538	1.19191	0.530227
22	0.263883	2.06056	0.955053
23	0.0831503	2.06502	0.711646
24	0.151933	1.47736	0.683238
25	0.204749	2.08469	0.951081
26	0.0893176	1.57387	0.944185
27	0.256331	2.49201	1.081
28	0.0863524	1.00858	0.440048
29	0.0776766	0.67593	0.377419
30	0.109455	1.168	0.524453
31	0.0852658	0.85896	0.349181
32	0.0888471	0.706558	0.371363
33	0.112456	1.19046	0.529765
34	0.101061	1.0725	0.574678
35	0.0897716	0.662043	0.330638
36	0.0958488	0.868405	0.439693
37	0.261266	1.83045	0.874592
38	0.0833905	0.672905	0.325502
39	0.104784	1.18715	0.533547
40	0.266981	2.33845	1.03579
41	0.0822971	1.56434	0.45187
42	0.131833	1.28828	0.581485
43	0.260371	1.91036	0.949959
44	0.0926449	1.20886	0.631013
45	0.271471	2.6199	1.13164
46	0.123832	1.20299	0.535674
47	0.0742363	0.619811	0.314876
48	0.0999645	0.855201	0.527265
49	0.0812246	0.891334	0.440705
50	0.0687492	0.6665	0.322164
51	0.122156	1.05804	0.531923
52	0.0814479	1.35778	0.41288
53	0.0736315	0.647214	0.309857
54	0.0983817	0.794565	0.415871
55	0.227429	0.915722	0.433213
56	0.0851874	0.64945	0.361858
57	0.140294	1.12225	0.542751
58	0.205029	2.06039	0.958943
59	0.0943542	1.79346	0.78375
60	0.122691	1.20682	0.56332
61	0.205131	2.04897	0.949436
62	0.0983043	1.30463	0.63468
63	0.276559	2.66244	1.14939
64	0.0811406	0.614964	0.386182
65	0.0657074	0.603905	0.277854
66	0.122111	1.01286	0.542728
67	0.112507	1.08554	0.396349
68	0.0753121	0.746042	0.299592
69	0.129058	1.21076	0.564389
70	0.095964	0.602546	0.323664
71	0.086999	0.645351	0.358508
72	0.0991108	0.778854	0.390538
73	0.0911846	1.38963	0.429249
74	0.0751167	0.591235	0.335411
75	0.179741	1.433	0.608835
