# k	cb	gl	xy
1	0.0609274	0.0693127	0.0740951
2	0.0585545	0.0634066	0.0542641
3	0.0689934	0.0537488	0.0587503
4	0.121546	0.117843	0.114132
5	0.0515045	0.112486	0.0964499
6	0.0686675	0.0614992	0.0650814
7	0.0984122	0.11905	0.115016
8	0.0554024	0.0492194	0.0499511
9	0.095061	0.0865586	0.0846629
10	0.059803	0.0847294	0.0713678
11	0.05837	0.0502422	0.0519061
12	0.0643194	0.053767	0.0533759
13	0.0572755	0.070684	0.0592619
14	0.0644482	0.0501356	0.0570816
15	0.0673373	0.0545166	0.0586376
16	0.0566688	0.0585794	0.053734
17	0.060749	0.0513067	0.0473925
18	0.0716208	0.0513766	0.0505776
19	0.0570977	0.0477652	0.0465165
20	0.0538996	0.0398316	0.0426838
21	0.0881512	0.0680701	0.0634395
22	0.159832	0.117679	0.114268
23	0.0503636	0.117934	0.0851455
24	0.0920249	0.0843723	0.0817465
25	0.124015	0.119057	0.113793
26	0.0540991	0.0898842	0.112968
27	0.155258	0.142319	0.129337
28	0.0523031	0.0576001	0.05265
29	0.0470482	0.0386025	0.0451566
30	0.0662964	0.0667045	0.0627487
31	0.051645	0.0490554	0.041778
32	0.0538141	0.0403517	0.0444321
33	0.0681138	0.0679875	0.0633842
34	0.0612119	0.0612507	0.0687579
35	0.0543741	0.0378094	0.0395595
36	0.058055	0.0495948	0.0526075
37	0.158247	0.104537	0.104641
38	0.0505091	0.0384297	0.038945
39	0.0634668	0.0677984	0.0638367
40	0.161709	0.133549	0.123927
41	0.0498468	0.0893399	0.0540644
42	0.0798506	0.0735737	0.0695723
43	0.157705	0.109101	0.113659
44	0.0561144	0.0690383	0.0754981
45	0.164428	0.149623	0.135396
46	0.075004	0.068703	0.0640911
47	0.0449645	0.0353976	0.0376736
48	0.0605479	0.0488407	0.0630851
49	0.0491972	0.0509043	0.0527286
50	0.0416409	0.0380639	0.0385456
51	0.0739892	0.0604247	0.0636424
52	0.0493325	0.0775432	0.0493994
53	0.0445981	0.0369625	0.0370732
54	0.0595892	0.0453778	0.0497572
55	0.137752	0.0522971	0.0518322
56	0.0515974	0.0370902	0.0432949
57	0.0849752	0.0640918	0.0649379
58	0.124185	0.117669	0.114733
59	0.0571497	0.102425	0.0937724
60	0.0743133	0.0689219	0.0673988
61	0.124246	0.117017	0.113596
62	0.0595423	0.0745076	0.0759368
63	0.16751	0.152052	0.137519
64	0.0491463	0.0351207	0.0462051
65	0.0397985	0.0344891	0.0332441
66	0.0739615	0.0578447	0.0649352
67	0.0681446	0.0619954	0.0474215
68	0.045616	0.0426066	0.0358449
69	0.0781698	0.0691468	0.0675268
70	0.0581248	0.0344115	0.038725
71	0.0526948	0.0368561	0.042894
72	0.0600308	0.0444805	0.0467263
73	0.0552299	0.079362	0.0513578
74	0.0454977	0.0337656	0.0401305
75	0.108868	0.0818388	0.0728446
76	0.168109	0.116963	0.1136
77	0.0676752	0.119053	0.0891133
78	0.105612	0.0935663	0.0887181
79	0.150345	0.104151	0.115033
80	0.115182	0.105876	0.0887169
81	0.171382	0.155457	0.140505
82	0.0728941	0.0350652	0.0615308
83	0.0490353	0.03364	0.0348762
84	0.108152	0.0802923	0.0713219
85	0.0521743	0.0777409	0.0355446
86	0.0494125	0.0342779	0.0370523
87	0.124675	0.0824579	0.0739542
88	0.0821535	0.0433345	0.0431608
89	0.0457499	0.0344836	0.0339481
90	0.0882596	0.0701532	0.0685766
91	0.0511913	0.0452737	0.10161
92	0.0602765	0.0381726	0.0356947
93	0.151054	0.13586	0.126765
94	0.121116	0.133561	0.123936
95	0.0713926	0.106065	0.0881154
96	0.0911909	0.0849421	0.0817349
97	0.124173	0.11907	0.113751
98	0.0737507	0.119106	0.108493
99	0.168576	0.152849	0.13815
100	0.051503	0.0559205	0.0332943
101	0.0448733	0.041171	0.0465352
102	0.125131	0.0745585	0.0705527
103	0.0508181	0.058262	0.0444339
104	0.0524094	0.0380185	0.0411021
105	0.137937	0.116088	0.111626
106	0.0467827	0.0330536	0.0302418
107	0.0411356	0.0352174	0.0342866
108	0.0925911	0.0866228	0.0766832
109	0.0492185	0.078804	0.0531501
110	0.0505197	0.0596082	0.0380399
111	0.179228	0.156344	0.147252
112	0.116825	0.13355	0.123952
113	0.0617922	0.0890434	0.0631654
114	0.114094	0.103264	0.0960414
115	0.124234	0.119055	0.115017
116	0.148905	0.132187	0.121575
117	0.173694	0.15755	0.142417
118	0.0459649	0.0402984	0.0489363
119	0.0483222	0.060728	0.0416835
120	0.121292	0.089283	0.0865538
121	0.0540726	0.0549334	0.045546
122	0.0384247	0.0522723	0.0403033
123	0.176559	0.104274	0.111292
124	0.0448376	0.0343076	0.0445358
125	0.038464	0.0335802	0.0331745
126	0.0998462	0.0853226	0.0824856
127	0.150972	0.0392327	0.0536354
128	0.0774582	0.0578486	0.0435818
129	0.167657	0.139477	0.126373
130	0.156098	0.117772	0.114294
131	0.0719426	0.103603	0.097125
132	0.0946994	0.090785	0.0874209
133	0.124466	0.119056	0.114914
134	0.111954	0.106817	0.0997117
135	0.16858	0.15285	0.138151
136	0.0476265	0.038738	0.0335271
137	0.0537739	0.0371813	0.047011
138	0.126689	0.125025	0.11664
139	0.0453918	0.0318831	0.0349088
140	0.0529698	0.036199	0.0391708
141	0.161867	0.105852	0.107995
142	0.107081	0.034917	0.0311085
143	0.0402468	0.0481368	0.0316532
144	0.0821264	0.0884646	0.0883159
145	0.0588858	0.0572154	0.054595
146	0.0528127	0.0435824	0.0457497
147	0.0555804	0.0504263	0.0508404
148	0.156555	0.117121	0.114128
149	0.0427348	0.112243	0.0616879
150	0.0737308	0.0670078	0.0706351
151	0.106654	0.117219	0.114424
152	0.0553314	0.0410553	0.0413213
153	0.0871401	0.0783854	0.078762
154	0.0626364	0.0573445	0.0548633
155	0.0512569	0.0483701	0.0434274
156	0.0559417	0.0500711	0.050397
157	0.151603	0.0572208	0.0547219
158	0.0541638	0.044626	0.0447475
159	0.0541555	0.0494533	0.05098
160	0.0598529	0.0474301	0.0546718
161	0.0621146	0.0423381	0.0459841
162	0.0567716	0.0545066	0.0525127
163	0.0526339	0.0451531	0.0516013
164	0.0413581	0.0407472	0.0356729
165	0.0530283	0.0465083	0.0465458
166	0.128306	0.117666	0.114149
167	0.0390786	0.0835046	0.0529513
168	0.0561094	0.0501518	0.0602142
169	0.15999	0.117229	0.113854
170	0.0460208	0.0418037	0.0440052
171	0.118109	0.108119	0.100738
172	0.0503119	0.0548302	0.0514549
173	0.0420259	0.0353481	0.0361402
174	0.0529076	0.0429155	0.0462076
175	0.0456612	0.0569034	0.0506323
176	0.0419672	0.036188	0.0362311
177	0.054018	0.0432271	0.0533044
178	0.0544202	0.0567034	0.0532188
179	0.0523891	0.0342544	0.0346555
180	0.0541453	0.0441673	0.0479078
181	0.0431393	0.05337	0.0340989
182	0.0424839	0.0330829	0.0338741
183	0.0558164	0.0450878	0.0566854
184	0.147666	0.117643	0.113479
185	0.04578	0.0656328	0.0666339
186	0.0584429	0.0595817	0.062235
187	0.123744	0.109317	0.0947646
188	0.0546362	0.0472673	0.0590484
189	0.164597	0.14821	0.134252
190	0.0417238	0.0455353	0.0335601
191	0.0369294	0.0316443	0.0304774
192	0.0586222	0.0480245	0.052849
193	0.0411428	0.0507194	0.0344558
194	0.043097	0.0323452	0.0368186
195	0.0595192	0.041623	0.0509532
196	0.0387198	0.0320364	0.0269955
197	0.0395758	0.0322946	0.0314883
198	0.0576525	0.0437701	0.05144
199	0.0548992	0.0390033	0.0334255
200	0.0411133	0.03194	0.0331063
201	0.0549051	0.0580345	0.0534678
202	0.124168	0.117657	0.114081
203	0.0464836	0.0592043	0.0888908
204	0.0587167	0.0577031	0.061489
205	0.124817	0.109213	0.11361
206	0.0572974	0.0510522	0.0630578
207	0.168182	0.152429	0.137801
208	0.0887098	0.0332466	0.0286151
209	0.031825	0.0383808	0.0330714
210	0.0559023	0.052257	0.0621941
211	0.0437544	0.0427915	0.0327053
212	0.0487596	0.0316187	0.0319545
213	0.055007	0.051945	0.0531443
214	0.0478725	0.033066	0.0296825
215	0.0336267	0.0319503	0.0335501
216	0.0547467	0.0451599	0.0513645
217	0.0489382	0.0338835	0.0301761
218	0.0371307	0.0349701	0.034033
219	0.0785108	0.063545	0.0573284
220	0.123654	0.116941	0.113561
221	0.0377583	0.0880811	0.0825264
222	0.0547038	0.0584458	0.0575689
223	0.12413	0.117045	0.0942691
224	0.0671299	0.0658083	0.0736159
225	0.168375	0.152666	0.137996
226	0.0418921	0.0368883	0.0380198
227	0.0316	0.0343851	0.030191
228	0.077375	0.0584181	0.0578579
229	0.0408486	0.0340966	0.0315342
230	0.0378602	0.0348751	0.0296736
231	0.0718665	0.0600819	0.0573833
232	0.0560868	0.0356684	0.0351174
233	0.0382441	0.0330389	0.0321122
234	0.0599773	0.0446327	0.0474237
235	0.0448714	0.0326867	0.0309238
236	0.0449402	0.0342819	0.0328898
237	0.0729462	0.0530582	0.0499992
238	0.128102	0.117664	0.114258
239	0.0480549	0.068632	0.0941889
240	0.0527459	0.0600663	0.068266
241	0.124231	0.119133	0.113639
242	0.0697363	0.0818988	0.0793896
243	0.168691	0.152949	0.13824
244	0.0548651	0.0340426	0.0274773
245	0.033288	0.0323276	0.0384223
246	0.0794299	0.075011	0.0704512
247	0.0460292	0.0319756	0.0394735
248	0.0375366	0.0356757	0.0329692
249	0.0807404	0.0576823	0.0553922
