# k	cb	gl	xy
1	0.165715	1.20276	0.505082
2	0.134384	1.17088	0.590224
3	0.13761	1.18695	0.56091
4	0.251149	2.15143	1.03037
5	0.146523	1.82772	0.88907
6	0.150069	1.23718	0.611014
7	0.24951	2.22557	1.00813
8	0.135094	1.18613	0.620722
9	0.185014	1.72114	0.779722
10	0.194059	1.34605	0.583463
11	0.153895	1.13255	0.548485
12	0.146358	1.11062	0.547456
13	0.14776	1.23757	0.560058
14	0.135251	1.10768	0.574591
15	0.138108	1.19755	0.534232
16	0.166163	1.07347	0.54639
17	0.140406	1.11622	0.590323
18	0.147133	1.13786	0.550973
19	0.145069	1.35402	0.66584
20	0.138961	1.13519	0.585255
21	0.161944	1.41295	0.607873
22	0.280312	2.13605	0.990879
23	0.135666	1.99753	0.912313
24	0.183081	1.68198	0.773155
25	0.216563	2.17331	1.00878
26	0.168317	1.44317	0.68046
27	0.261457	2.54276	1.10676
28	0.194744	1.90627	0.936221
29	0.135669	0.994969	0.521712
30	0.145939	1.38854	0.611443
31	0.156749	1.30194	0.743334
32	0.122026	1.28399	0.555595
33	0.158113	1.42395	0.60558
34	0.147941	1.28887	0.722458
35	0.139877	1.13267	0.567408
36	0.129495	1.14882	0.562226
37	0.246427	2.00711	0.579239
38	0.149977	1.17194	0.634239
39	0.184501	1.41767	0.655172
40	0.277621	2.18484	1.00657
41	0.151177	1.90645	0.895474
42	0.169026	1.51891	0.722378
43	0.257371	2.18117	1.00043
44	0.168665	1.82067	0.822598
45	0.274619	2.64931	1.14646
46	0.25745	1.79952	0.765298
47	0.144931	1.03558	0.603698
48	0.167214	1.30026	0.597878
49	0.161635	1.1595	0.591981
50	0.147473	1.11598	0.599821
51	0.172778	1.33863	0.672049
52	0.184009	1.37766	0.764756
53	0.127748	1.0109	0.515483
54	0.129501	0.929009	0.487016
55	0.16016	1.16697	0.601486
56	0.128906	1.11789	0.569568
57	0.206762	1.41205	0.655931
58	0.278564	2.18323	0.991655
59	0.130429	2.04819	0.982689
60	0.163397	1.43229	0.674607
61	0.234437	2.17914	0.996487
62	0.189533	1.89452	0.875123
63	0.278955	2.68729	1.16136
64	0.215201	1.71478	0.835924
65	0.149238	0.945492	0.546945
66	0.163069	1.48772	0.695182
67	0.133831	1.29328	0.606129
68	0.144182	0.89596	0.535221
69	0.198602	1.39343	0.648227
70	0.196982	1.23976	0.543697
71	0.138574	0.846954	0.518538
72	0.143899	0.941142	0.498831
73	0.140497	1.139	0.586524
74	0.156146	1.2263	0.713686
75	0.206778	1.61863	0.751944
76	0.226857	2.15792	0.993492
77	0.175904	1.93031	0.937111
78	0.204869	1.94645	0.885228
79	0.216752	2.14996	1.00059
80	0.219877	2.08198	0.9157
81	0.285443	2.74781	1.18686
82	0.148428	1.46386	0.676737
83	0.145773	1.03249	0.575023
