# k	cb	gl	xy
1	0.100372	0.0686901	0.060431
2	0.0813957	0.066869	0.0706178
3	0.0833497	0.067787	0.0671105
4	0.152119	0.122868	0.123279
5	0.0887481	0.104382	0.106373
6	0.0908959	0.0706557	0.0731053
7	0.151127	0.127103	0.120618
8	0.0818258	0.0677399	0.0742669
9	0.112062	0.0982949	0.0932906
10	0.117541	0.0768735	0.0698089
11	0.0932133	0.0646803	0.065624
12	0.0886481	0.0634279	0.0655008
13	0.0894974	0.0706777	0.0670086
14	0.0819206	0.06326	0.0687474
15	0.0836509	0.0683925	0.0639186
16	0.100644	0.0613059	0.0653733
17	0.0850431	0.0637478	0.0706296
18	0.0891176	0.0649834	0.0659217
19	0.0878672	0.0773285	0.079665
20	0.0841679	0.0648311	0.0700233
21	0.0980882	0.0806938	0.0727295
22	0.169783	0.12199	0.118555
23	0.0821723	0.11408	0.109154
24	0.110891	0.0960582	0.0925048
25	0.131171	0.124118	0.120696
26	0.101949	0.0824199	0.0814142
27	0.158363	0.145218	0.13242
28	0.117955	0.108867	0.112015
29	0.0821736	0.0568229	0.0624206
30	0.0883945	0.0792998	0.0731566
31	0.094942	0.0743539	0.0889368
32	0.0739103	0.0733289	0.0664747
33	0.0957678	0.081322	0.0724551
34	0.0896067	0.0736079	0.0864391
35	0.0847228	0.0646873	0.067888
36	0.0784343	0.0656094	0.067268
37	0.149259	0.114626	0.0693035
38	0.0908398	0.0669298	0.075884
39	0.111751	0.0809636	0.0783886
40	0.168153	0.124777	0.120432
41	0.0915668	0.108878	0.10714
42	0.102378	0.0867452	0.0864296
43	0.155888	0.124567	0.119697
44	0.102159	0.103979	0.0984204
45	0.166335	0.151302	0.137169
46	0.155936	0.102771	0.0915648
47	0.087784	0.0591422	0.07223
48	0.101281	0.0742579	0.0715337
49	0.097901	0.0662195	0.070828
50	0.0893237	0.063734	0.0717661
51	0.104651	0.0764494	0.0804079
52	0.111453	0.0786783	0.0914999
53	0.0773759	0.0577328	0.0616754
54	0.0784379	0.0530559	0.0582694
55	0.0970081	0.0666458	0.0719653
56	0.0780776	0.0638429	0.0681464
57	0.125235	0.0806426	0.0784794
58	0.168724	0.124685	0.118647
59	0.0790003	0.116973	0.117575
60	0.0989685	0.0817984	0.0807139
61	0.141997	0.124451	0.119226
62	0.114799	0.108196	0.104705
63	0.168961	0.153472	0.138952
64	0.130346	0.0979316	0.100015
65	0.0903923	0.0539973	0.0654397
66	0.0987699	0.0849639	0.0831757
67	0.0810607	0.0738594	0.0725208
68	0.0873303	0.0511685	0.064037
69	0.120292	0.0795789	0.0775577
70	0.119311	0.0708029	0.0650511
71	0.0839337	0.0483697	0.062041
72	0.0871586	0.0537488	0.0596831
73	0.0850979	0.0650487	0.0701752
74	0.0945764	0.070034	0.0853895
75	0.125244	0.0924405	0.0899669
76	0.137406	0.123239	0.118867
77	0.106544	0.110241	0.112121
78	0.124088	0.111162	0.105914
79	0.131285	0.122784	0.119717
80	0.133178	0.118902	0.10956
81	0.172891	0.156928	0.142003
82	0.0899016	0.0836014	0.0809688
83	0.0882938	0.0589658	0.0687991
84	0.123734	0.098947	0.0855506
85	0.078301	0.066043	0.0691949
86	0.0878506	0.0681368	0.0729477
87	0.132977	0.092051	0.0857355
88	0.0882278	0.0650513	0.0808805
89	0.101405	0.0604882	0.0724878
90	0.11709	0.0878785	0.0872167
91	0.0861228	0.0800944	0.0759886
92	0.0865643	0.0555502	0.0701087
93	0.161657	0.142271	0.121751
94	0.156946	0.123872	0.119344
95	0.0872644	0.124621	0.11236
96	0.106324	0.0899441	0.088436
97	0.140863	0.124009	0.118629
98	0.117276	0.116965	0.122921
99	0.169832	0.154158	0.139474
100	0.09053	0.0701448	0.101983
101	0.0987969	0.0609548	0.0657946
102	0.131276	0.0902054	0.0872763
