Time	cb	gl	xy
0.000000000000000000e+00	2.256007477102301095e+00	1.261956375273162223e+01	6.405820842434700957e+00
3.000000000000000000e+00	2.099676547776710311e+00	1.100194688152021349e+01	5.813419421800886333e+00
6.000000000000000000e+00	1.826339166166567773e+00	7.306943117073259053e+00	4.064953207886767395e+00
9.000000000000000000e+00	1.962523486954594221e+00	7.643749838832886390e+00	4.195254225644970525e+00
1.200000000000000000e+01	1.597940002362612244e+00	6.915685450614346585e+00	4.589017790872306435e+00
1.500000000000000000e+01	1.677989860319677451e+00	6.782758191972662054e+00	4.163419057389980082e+00
1.800000000000000000e+01	1.710239911817529102e+00	6.631307105525348078e+00	4.258724519207587988e+00
2.100000000000000000e+01	1.675139020003880930e+00	7.066365799778589363e+00	4.236079067141631072e+00
2.400000000000000000e+01	1.688223691290815953e+00	7.217853321144641399e+00	4.331087748238861224e+00
2.700000000000000000e+01	1.698948997839962782e+00	7.267137673603682124e+00	4.339502553260677686e+00
3.000000000000000000e+01	1.538748971467296389e+00	6.991278654674652593e+00	4.223383289388269901e+00
3.300000000000000000e+01	1.657910730440829594e+00	7.412676650813282642e+00	4.421807612262147025e+00
3.600000000000000000e+01	1.703441966152445142e+00	7.561340045272653576e+00	4.413477386623997134e+00
3.900000000000000000e+01	1.687024398518676360e+00	7.828928707491369821e+00	4.533150701556803774e+00
4.200000000000000000e+01	1.686785715475785929e+00	7.506418274785420230e+00	4.407477554044011647e+00
4.500000000000000000e+01	1.558437374908735240e+00	7.414388908406281509e+00	4.324046944609792220e+00
4.800000000000000000e+01	1.517137395019099610e+00	7.359323215771875759e+00	4.315666542817126583e+00
5.100000000000000000e+01	1.595446207143633721e+00	8.092618352968251827e+00	4.214993163556298938e+00
5.400000000000000000e+01	1.470978813308149391e+00	7.712113385211576855e+00	4.452383018467440223e+00
5.700000000000000000e+01	1.631522754781234319e+00	8.145315879479028354e+00	4.655193097593016027e+00
6.000000000000000000e+01	1.655032667444646943e+00	7.627983206521448345e+00	4.407462462890893384e+00
6.300000000000000000e+01	1.586285052892697278e+00	8.025971231322703403e+00	4.234800131112498534e+00
6.600000000000000000e+01	1.669717978861167573e+00	7.770191243825957272e+00	4.493534157310045352e+00
6.900000000000000000e+01	1.643384724269659758e+00	8.011119448906036666e+00	4.566242418780428913e+00
7.200000000000000000e+01	1.628417581648753831e+00	7.919030461391672659e+00	4.554397777108786016e+00
7.500000000000000000e+01	1.584079242087663264e+00	8.123537034339538110e+00	4.302354588961719628e+00
7.800000000000000000e+01	1.602266596185372372e+00	7.957839643815892927e+00	4.528470068541502691e+00
8.100000000000000000e+01	1.439774595075443919e+00	7.791409284667093260e+00	4.426507414574352595e+00
8.400000000000000000e+01	1.436710594115486961e+00	7.701670625771799727e+00	4.386760674496688495e+00
8.700000000000000000e+01	1.586914126224978183e+00	8.334940488398938641e+00	4.699494562956123112e+00
9.000000000000000000e+01	1.562243581481009613e+00	8.662459035314821421e+00	4.827686815197244741e+00
9.300000000000000000e+01	1.540563712671307428e+00	8.646610152763081203e+00	4.836482425296746435e+00
9.600000000000000000e+01	1.483789441103929851e+00	8.634978586907962494e+00	4.410414413693597879e+00
9.900000000000000000e+01	1.487164649951683515e+00	8.564494374366102392e+00	4.404919029344657844e+00
1.020000000000000000e+02	1.482340285401097857e+00	8.700136078344998580e+00	4.464948585310519746e+00
1.050000000000000000e+02	1.469900492991986551e+00	8.833856627725914734e+00	4.543416891060619633e+00
1.080000000000000000e+02	1.532098074555554135e+00	8.660382507933576335e+00	4.820707169361853062e+00
1.110000000000000000e+02	1.457488479899679445e+00	8.737806681246176765e+00	4.483011737975752808e+00
1.140000000000000000e+02	1.497420317575333337e+00	8.814531994981450680e+00	4.894017599539175478e+00
1.170000000000000000e+02	1.473690698052130266e+00	8.822407151096479438e+00	4.873136862777213807e+00
1.200000000000000000e+02	1.474691211662181978e+00	8.783801294404600668e+00	4.862745651560381965e+00
1.230000000000000000e+02	1.466170229796846858e+00	8.895891511851729661e+00	4.890839499382162003e+00
1.260000000000000000e+02	1.443449963785141676e+00	9.124169460229989426e+00	4.988144749781781684e+00
1.290000000000000000e+02	1.371461172904158587e+00	1.001404028204946250e+01	5.376044261235064958e+00
1.320000000000000000e+02	1.366387947618127319e+00	9.920702096502049372e+00	5.361641442273529456e+00
1.350000000000000000e+02	1.350572019905706744e+00	1.017181480721114895e+01	5.464766931204279032e+00
1.380000000000000000e+02	1.338096697641067978e+00	1.008744899752953650e+01	5.420120557314024978e+00
1.410000000000000000e+02	1.340067126175960244e+00	1.020141515861366344e+01	5.461227895651480146e+00
1.440000000000000000e+02	1.280867388983621735e+00	1.011956788944413255e+01	5.057050625122540666e+00
1.470000000000000000e+02	1.119893373119224433e+00	1.215074552697582000e+01	5.898682918070074166e+00
1.500000000000000000e+02	1.179495584094583993e+00	1.211774711171859664e+01	6.245660608134292247e+00
1.530000000000000000e+02	1.184942882821492294e+00	1.206708871930147886e+01	6.241895334552772567e+00
1.560000000000000000e+02	1.176629788296119639e+00	1.204104802717514566e+01	6.223301141588823526e+00
1.590000000000000000e+02	1.178735382697266409e+00	1.222625420619474212e+01	6.291340843182990028e+00
1.620000000000000000e+02	1.146160698753183382e+00	1.283954096262270106e+01	6.562161999118599098e+00
1.650000000000000000e+02	1.536452062963750143e+00	6.445198565317527439e+00	3.618212899310967234e+00
1.680000000000000000e+02	1.633665345761849963e+00	6.962588532535527897e+00	4.210988549631368372e+00
1.710000000000000000e+02	1.430516722900944337e+00	7.900586411274715282e+00	4.809496140696948530e+00
1.740000000000000000e+02	1.434159152559952632e+00	8.037913952971255327e+00	4.918708823654119655e+00
1.770000000000000000e+02	1.606175238593434029e+00	8.754023297570293849e+00	4.996475589863409894e+00
1.800000000000000000e+02	1.660479728496088603e+00	9.249780190012748093e+00	5.387002843174585109e+00
1.830000000000000000e+02	1.605395243381904979e+00	8.814791588895161567e+00	4.984460393549849044e+00
1.860000000000000000e+02	1.538042066217166770e+00	7.995307792461727736e+00	4.602527018641538348e+00
1.890000000000000000e+02	1.537743446522762625e+00	8.268207494641774957e+00	4.790668801283983314e+00
