# Wavelength	Beta
4400	-0.0450729
4401	-0.0330843
4402	-0.0182774
4403	-0.000322626
4404	0.0209931
4405	0.0456726
4406	0.0734028
4407	0.103466
4408	0.131783
4409	0.171416
4410	0.215448
4411	0.254603
4412	0.282739
4413	0.301664
4414	0.317964
4415	0.335622
4416	0.351334
4417	0.354485
4418	0.332857
4419	0.281925
4420	0.212028
4421	0.145739
4422	0.102812
4423	0.0871066
4424	0.0903185
4425	0.102324
4426	0.114461
4427	0.118816
4428	0.111381
4429	0.0981603
4430	0.0960324
4431	0.121652
4432	0.175766
4433	0.238148
4434	0.280395
4435	0.287327
4436	0.270132
4437	0.257207
4438	0.270728
4439	0.314911
4440	0.379451
4441	0.446439
4442	0.499377
4443	0.531665
4444	0.547019
4445	0.552647
4446	0.550485
4447	0.535475
4448	0.503592
4449	0.458935
4450	0.411494
4451	0.372181
4452	0.35082
4453	0.354336
4454	0.38362
4455	0.431758
4456	0.486709
4457	0.538575
4458	0.584614
4459	0.623934
4460	0.649771
4461	0.651628
4462	0.625236
4463	0.578235
4464	0.525068
4465	0.477451
4466	0.442075
4467	0.424181
4468	0.426732
4469	0.443589
4470	0.460231
4471	0.468188
4472	0.475821
4473	0.500155
4474	0.545513
4475	0.595858
4476	0.631509
4477	0.650463
4478	0.668476
4479	0.696034
4480	0.724563
4481	0.739053
4482	0.733706
4483	0.711854
4484	0.678919
4485	0.639145
4486	0.594165
4487	0.544406
4488	0.494917
4489	0.45591
4490	0.436776
4491	0.443088
4492	0.478149
4493	0.541674
4494	0.624648
4495	0.709515
4496	0.77659
4497	0.813607
4498	0.823804
4499	0.8269
4500	0.846421
4501	0.883313
4502	0.906387
4503	0.886651
4504	0.832601
4505	0.780264
4506	0.757614
4507	0.766868
4508	0.793693
4509	0.821853
4510	0.84076
4511	0.84392
4512	0.824748
4513	0.780916
4514	0.721975
4515	0.66627
4516	0.627687
4517	0.606502
4518	0.595927
4519	0.595363
4520	0.610075
4521	0.636098
4522	0.657914
4523	0.669127
4524	0.685338
4525	0.728336
4526	0.799261
4527	0.869402
4528	0.901843
4529	0.883612
4530	0.831877
4531	0.774622
4532	0.732852
4533	0.716032
4534	0.724529
4535	0.750519
4536	0.776557
4537	0.781238
4538	0.755609
4539	0.714018
4540	0.68386
4541	0.681397
4542	0.69829
4543	0.714719
4544	0.720369
4545	0.718949
4546	0.720218
4547	0.732203
4548	0.758669
4549	0.796779
4550	0.835199
4551	0.861471
4552	0.872592
4553	0.875441
4554	0.877789
4555	0.879641
4556	0.873051
4557	0.849909
4558	0.810629
4559	0.767005
4560	0.73506
4561	0.7232
4562	0.726868
4563	0.73506
4564	0.740183
4565	0.738738
4566	0.729128
4567	0.719513
4568	0.731982
4569	0.784691
4570	0.869425
4571	0.955979
4572	1.02055
4573	1.06279
4574	1.09407
4575	1.12039
4576	1.14352
4577	1.1669
4578	1.18798
4579	1.19482
4580	1.18018
4581	1.14972
4582	1.11777
4583	1.10001
4584	1.10206
4585	1.11013
4586	1.09833
4587	1.05885
4588	1.02165
4589	1.02377
4590	1.06857
4591	1.13351
4592	1.2049
4593	1.28712
4594	1.37913
4595	1.45873
4596	1.49703
4597	1.49132
4598	1.46259
4599	1.41372
4600	1.31956
4601	1.15813
4602	0.952626
4603	0.779906
4604	0.706563
4605	0.734134
4606	0.82036
4607	0.929362
4608	1.05467
4609	1.19506
4610	1.32576
4611	1.42011
4612	1.47954
4613	1.51965
4614	1.54055
4615	1.52931
4616	1.48176
4617	1.41101
4618	1.34306
4619	1.2962
4620	1.26771
4621	1.24873
4622	1.23626
4623	1.23123
4624	1.2386
4625	1.26486
4626	1.30888
4627	1.36449
4628	1.4252
4629	1.48578
4630	1.54647
4631	1.61393
4632	1.70197
4633	1.82918
4634	1.98538
4635	2.10394
4636	2.11511
4637	2.0288
4638	1.90262
4639	1.75976
4640	1.58793
4641	1.39063
4642	1.19535
4643	1.01225
4644	0.8387
4645	0.700295
4646	0.647768
4647	0.71129
4648	0.881344
4649	1.12477
4650	1.3939
4651	1.62453
4652	1.7693
4653	1.85726
4654	1.97605
4655	2.14765
4656	2.28896
4657	2.34213
4658	2.32062
4659	2.24722
4660	2.15431
4661	2.07785
4662	2.00461
4663	1.85939
4664	1.58838
4665	1.23006
4666	0.856083
4667	0.513758
4668	0.249038
4669	0.119202
4670	0.159492
4671	0.35337
4672	0.624073
4673	0.897034
4674	1.16135
4675	1.41802
4676	1.63614
4677	1.78912
4678	1.87567
4679	1.89689
4680	1.86567
4681	1.82203
4682	1.81354
4683	1.87223
4684	1.99749
4685	2.15087
4686	2.27531
4687	2.31903
4688	2.24336
4689	2.05812
4690	1.84917
4691	1.68261
4692	1.50699
4693	1.23205
4694	0.890189
4695	0.594937
4696	0.393557
4697	0.268832
4698	0.208364
4699	0.233894
4700	0.363399
4701	0.554438
4702	0.730465
4703	0.857613
4704	0.958008
4705	1.08654
4706	1.28489
4707	1.5376
4708	1.77008
4709	1.89499
4710	1.89538
4711	1.83111
4712	1.75664
4713	1.68621
4714	1.60413
4715	1.48616
4716	1.33112
4717	1.17689
4718	1.06243
4719	0.986565
4720	0.929467
4721	0.890352
4722	0.8684
4723	0.830612
4724	0.727334
4725	0.552721
4726	0.360693
4727	0.21752
4728	0.170959
4729	0.23538
4730	0.369766
4731	0.485044
4732	0.520692
4733	0.506672
4734	0.51572
4735	0.579361
4736	0.6711
4737	0.745774
4738	0.77768
4739	0.768704
4740	0.74668
4741	0.751495
4742	0.806071
4743	0.899995
4744	0.99599
4745	1.05379
4746	1.05524
4747	1.00763
4748	0.926772
4749	0.820885
4750	0.68058
4751	0.478995
4752	0.206429
4753	-0.103919
4754	-0.396067
4755	-0.614025
4756	-0.716012
4757	-0.698806
4758	-0.587945
4759	-0.406362
4760	-0.186651
4761	0.0232096
4762	0.201106
4763	0.351429
4764	0.461374
4765	0.50015
4766	0.458357
4767	0.359855
4768	0.249532
4769	0.172083
4770	0.137745
4771	0.117189
4772	0.0865394
4773	0.0692695
4774	0.116742
4775	0.250944
4776	0.4279
4777	0.562163
4778	0.60709
4779	0.575753
4780	0.491954
4781	0.378842
4782	0.270907
4783	0.192
4784	0.133758
4785	0.0707254
4786	-0.00620464
4787	-0.081935
4788	-0.135555
4789	-0.154853
4790	-0.146445
4791	-0.135385
4792	-0.146485
4793	-0.181007
4794	-0.214156
4795	-0.217388
4796	-0.181325
4797	-0.118015
4798	-0.0454223
4799	0.0286184
4800	0.106506
4801	0.188413
4802	0.26591
4803	0.324445
4804	0.343334
4805	0.303428
4806	0.205159
4807	0.0742261
4808	-0.0546729
4809	-0.15585
4810	-0.217107
4811	-0.243344
4812	-0.259148
4813	-0.284898
4814	-0.312575
4815	-0.315412
4816	-0.272105
4817	-0.188145
4818	-0.0919325
4819	-0.00506318
4820	0.0653924
4821	0.114716
4822	0.1404
4823	0.14498
4824	0.129865
4825	0.0896401
4826	0.0197532
4827	-0.0706287
4828	-0.161107
4829	-0.233523
4830	-0.27757
4831	-0.287557
4832	-0.262694
4833	-0.210331
4834	-0.140249
4835	-0.0576742
4836	0.0331916
4837	0.122195
4838	0.195988
4839	0.246932
4840	0.272632
4841	0.269226
4842	0.234551
4843	0.177728
4844	0.116595
4845	0.064178
4846	0.0212002
4847	-0.0173634
4848	-0.0538262
4849	-0.0874798
4850	-0.116857
4851	-0.140691
4852	-0.158524
4853	-0.171924
4854	-0.183756
4855	-0.194655
4856	-0.200777
4857	-0.196659
4858	-0.17968
4859	-0.150302
4860	-0.112621
4861	-0.0766087
4862	-0.0538175
4863	-0.0502051
4864	-0.065815
4865	-0.0974257
4866	-0.137968
4867	-0.175734
4868	-0.20075
4869	-0.214127
4870	-0.224592
4871	-0.234793
4872	-0.237846
4873	-0.229719
4874	-0.217869
4875	-0.212142
4876	-0.21154
4877	-0.20505
4878	-0.18436
4879	-0.153643
4880	-0.126849
4881	-0.114008
4882	-0.112511
4883	-0.112809
4884	-0.108793
