# Wavelength	Beta
4400	-0.0404292
4401	-0.0279967
4402	-0.012714
4403	0.00574057
4404	0.0275669
4405	0.0527484
4406	0.0809462
4407	0.111412
4408	0.140063
4409	0.178465
4410	0.220182
4411	0.256735
4412	0.282488
4413	0.298756
4414	0.31105
4415	0.322891
4416	0.331752
4417	0.328625
4418	0.302866
4419	0.250828
4420	0.18257
4421	0.119261
4422	0.0793115
4423	0.0664101
4424	0.0725847
4425	0.087434
4426	0.101912
4427	0.108728
4428	0.104952
4429	0.0963426
4430	0.0976405
4431	0.123231
4432	0.173549
4433	0.230248
4434	0.267451
4435	0.271226
4436	0.251659
4437	0.234654
4438	0.241085
4439	0.276248
4440	0.332001
4441	0.391864
4442	0.439758
4443	0.469361
4444	0.484608
4445	0.492035
4446	0.492017
4447	0.478584
4448	0.448489
4449	0.407084
4450	0.364393
4451	0.329815
4452	0.311021
4453	0.313536
4454	0.338531
4455	0.380897
4456	0.43065
4457	0.478708
4458	0.521881
4459	0.558793
4460	0.582525
4461	0.582174
4462	0.553193
4463	0.504044
4464	0.450475
4465	0.404405
4466	0.371516
4467	0.35605
4468	0.360838
4469	0.380235
4470	0.40021
4471	0.412525
4472	0.425212
4473	0.453871
4474	0.50091
4475	0.549336
4476	0.579904
4477	0.591681
4478	0.601454
4479	0.620898
4480	0.642876
4481	0.653185
4482	0.645599
4483	0.622548
4484	0.589034
4485	0.549372
4486	0.505643
4487	0.458875
4488	0.413763
4489	0.378505
4490	0.360224
4491	0.364043
4492	0.394988
4493	0.454973
4494	0.535766
4495	0.619512
4496	0.686664
4497	0.725353
4498	0.738522
4499	0.74497
4500	0.767491
4501	0.807242
4502	0.833818
4503	0.818116
4504	0.767208
4505	0.715467
4506	0.690213
4507	0.694573
4508	0.715991
4509	0.739323
4510	0.753565
4511	0.751575
4512	0.727576
4513	0.681183
4514	0.623271
4515	0.571873
4516	0.539424
4517	0.524744
4518	0.520025
4519	0.523897
4520	0.541225
4521	0.568539
4522	0.591601
4523	0.604515
4524	0.621216
4525	0.660434
4526	0.721798
4527	0.779112
4528	0.800841
4529	0.778
4530	0.72784
4531	0.675918
4532	0.640521
4533	0.628904
4534	0.639851
4535	0.665077
4536	0.688354
4537	0.690611
4538	0.664492
4539	0.623903
4540	0.594343
4541	0.590443
4542	0.603722
4543	0.615416
4544	0.61658
4545	0.612161
4546	0.612659
4547	0.626044
4548	0.655291
4549	0.69652
4550	0.737765
4551	0.7663
4552	0.778684
4553	0.781148
4554	0.781416
4555	0.780742
4556	0.773055
4557	0.751072
4558	0.714272
4559	0.672662
4560	0.641032
4561	0.627716
4562	0.629014
4563	0.635242
4564	0.639861
4565	0.639664
4566	0.632542
4567	0.625268
4568	0.638082
4569	0.688284
4570	0.768923
4571	0.852123
4572	0.914912
4573	0.955296
4574	0.9827
