# Measured	Predicted
7.735	7.16503
8.354	8.40986
9.095	10.0648
9.84	8.79968
9.989	8.86335
9.846	10.5095
10.432	10.7989
10.641	11.6612
10.905	11.8609
11.069	10.994
11.168	11.1134
11.443	11.3197
11.448	11.3969
6.006	6.21236
7.711	10.0273
9.085	11.3372
10.227	12.2914
12.006	12.0568
12.969	12.0466
14.34	14.5628
15.335	14.0433
16.152	14.3256
17.046	14.0586
16.877	14.653
17.251	15.2347
16.03	15.9863
14.814	15.8109
15.116	15.2334
17.51	18.1958
6.263	7.58228
8.483	9.84016
8.986	10.9504
10.66	10.9847
13.265	12.5429
13.369	12.6432
13.435	13.033
13.607	12.4864
14.223	12.4477
13.496	13.1492
13.594	13.7011
13.531	14.2625
13.396	13.8578
14.519	13.2909
13.655	12.2529
9.539	13.2065
10.61	11.6953
10.932	11.1077
12.455	11.5437
12.155	11.575
12.979	13.0228
13.314	12.8932
13.51	12.6902
13.48	12.7566
14.337	13.0889
13.269	13.5456
13.44	13.2646
13.576	13.0841
14.284	15.0373
14.305	16.1783
15.027	15.4122
