# Measured	Predicted
4.477	4.29736
4.756	4.78119
5.157	5.16527
5.517	5.03847
5.604	5.02307
5.531	5.86876
5.766	5.82841
5.822	6.24793
5.938	6.27283
6.002	5.95345
6.046	5.97153
6.176	6.03585
6.163	6.10814
3.15	3.61036
4.5	5.24779
5.059	5.82993
5.536	6.29154
6.229	6.1679
6.596	6.19696
7.256	7.19047
7.655	6.99604
7.969	7.15661
8.358	7.05424
8.162	7.28292
8.316	7.4659
7.723	7.8291
7.127	7.71994
7.202	7.52199
8.262	8.77622
3.069	4.43728
4.851	5.20332
4.913	5.80809
5.577	5.81489
6.996	6.42647
6.739	6.57445
6.71	6.69241
6.763	6.45665
6.963	6.48334
7.134	6.65579
7.148	6.9432
7.195	7.16847
6.727	7.05016
7.287	6.6654
6.967	6.29047
4.851	6.93945
4.913	6.27448
5.577	5.87213
6.996	5.97236
6.739	5.92484
6.71	6.71018
6.763	6.65506
6.963	6.45807
7.134	6.53085
7.148	6.71036
7.195	6.91096
6.727	6.96767
7.287	6.64821
6.717	7.41278
6.967	7.9879
6.967	7.63979
