# k	cb	gl	xy
1	0.212057	1.64074	0.794545
2	0.126066	1.11757	0.509553
3	0.100044	0.847284	0.37296
4	0.0814888	0.590943	0.270481
5	0.0331223	0.334081	0.139494
6	0.113536	1.22035	0.562869
7	0.0842689	0.828561	0.351537
8	0.0596419	0.51428	0.218668
9	0.0349399	0.233899	0.106449
10	0.0250677	0.233415	0.106449
11	0.0756436	0.98835	0.463473
12	0.0511718	0.426943	0.190437
13	0.0254915	0.246747	0.112678
14	0.0254279	0.246747	0.112678
15	0.0254279	0.246747	0.112678
16	0.0680254	0.885553	0.442341
17	0.0266743	0.26091	0.110992
18	0.0266743	0.26091	0.110992
19	0.0266743	0.26091	0.110992
20	0.0266743	0.26091	0.110992
21	0.0671289	0.927099	0.46308
22	0.0276201	0.267744	0.113524
23	0.0276201	0.267744	0.113524
24	0.0276201	0.267744	0.113524
25	0.0276201	0.267744	0.113524
