# k	cb	gl	xy
1	0.128441	0.093703	0.095064
2	0.0763576	0.0638249	0.0609659
3	0.0605959	0.0483886	0.0446231
4	0.0493573	0.0337489	0.0323619
5	0.020062	0.0190794	0.0166898
6	0.0687678	0.0696945	0.0673449
7	0.0510412	0.0473193	0.04206
8	0.0361247	0.0293706	0.0261628
9	0.0211628	0.013358	0.0127361
10	0.0151834	0.0133304	0.0127361
11	0.0458168	0.0564449	0.0554527
12	0.0309944	0.0243828	0.022785
13	0.0154401	0.0140918	0.0134815
14	0.0154015	0.0140918	0.0134815
15	0.0154015	0.0140918	0.0134815
16	0.0412025	0.0505741	0.0529243
17	0.0161565	0.0149006	0.0132797
18	0.0161565	0.0149006	0.0132797
19	0.0161565	0.0149006	0.0132797
20	0.0161565	0.0149006	0.0132797
21	0.0406595	0.0529468	0.0554056
22	0.0167293	0.0152909	0.0135827
23	0.0167293	0.0152909	0.0135827
24	0.0167293	0.0152909	0.0135827
25	0.0167293	0.0152909	0.0135827
