# k	cb	gl	xy
1.000000000000000000e+00	2.126189759929475176e-01	2.450255787336770741e+00	1.085790595857707874e+00
2.000000000000000000e+00	2.115297508430722118e-01	2.197499327820921611e+00	1.023236829078986387e+00
3.000000000000000000e+00	2.083344325911543893e-01	2.455299810264181648e+00	1.111501058529526853e+00
4.000000000000000000e+00	1.264936307215350497e-01	1.304120450598902359e+00	7.886221550119898449e-01
5.000000000000000000e+00	2.126189759929475176e-01	2.450255787336771185e+00	1.085790595857707874e+00
6.000000000000000000e+00	2.115297508430722118e-01	2.197499327820921611e+00	1.023236829078986387e+00
7.000000000000000000e+00	2.083344325911543893e-01	2.455299810264181648e+00	1.111501058529526853e+00
8.000000000000000000e+00	2.845557000444617346e-01	2.803518065191813680e+00	1.210536114553312226e+00
9.000000000000000000e+00	3.541332939525118073e-01	3.232611694192957241e+00	1.364865048702309736e+00
1.000000000000000000e+01	1.450991788882850519e-01	1.475980919785494061e+00	7.452502690811282360e-01
1.100000000000000000e+01	2.838055367603423695e-01	2.800424605843339521e+00	1.209472334380042202e+00
1.200000000000000000e+01	3.393260207617483926e-01	3.194568764742764966e+00	1.365040423593548491e+00
1.300000000000000000e+01	1.451067936695286942e-01	1.475982543470904851e+00	7.452556010582189749e-01
1.400000000000000000e+01	2.487938123005540569e-01	2.670774283525852777e+00	1.165812120591124490e+00
1.500000000000000000e+01	2.399663234376371856e-01	2.508965299219084066e+00	1.039416671570774220e+00
1.600000000000000000e+01	1.535864467186335014e-01	1.737439048803984143e+00	8.726479484981619628e-01
1.700000000000000000e+01	2.224248568120391345e-01	2.482027028728954754e+00	1.096689260657483844e+00
1.800000000000000000e+01	2.335175612104133935e-01	2.502819081440208038e+00	1.118173625905178215e+00
1.900000000000000000e+01	2.741784701735150431e-01	2.783375821183923460e+00	1.199371659698517334e+00
2.000000000000000000e+01	2.126634891268277816e-01	2.450212493191171959e+00	1.085786017507455181e+00
2.100000000000000000e+01	2.115381229393279994e-01	2.198382237010625850e+00	1.023345010897917184e+00
2.200000000000000000e+01	2.083292964733073072e-01	2.455134567357383002e+00	1.111274416283414723e+00
2.300000000000000000e+01	1.264562122514037712e-01	1.304148926068576797e+00	7.882895997525591891e-01
