# k	cb	gl	xy
1	0.137615	0.102594	0.104038
2	0.102125	0.0709076	0.0684315
3	0.0771211	0.0614858	0.0582434
4	0.088781	0.0581973	0.0608737
5	0.093799	0.0774411	0.0666415
6	0.0974524	0.098456	0.098091
7	0.0819136	0.0921384	0.0907506
8	0.0895382	0.0807804	0.085299
9	0.100922	0.0844656	0.0897283
10	0.102947	0.0864189	0.0912519
11	0.11247	0.118567	0.109886
12	0.111417	0.118013	0.106476
13	0.124461	0.119026	0.107543
14	0.124462	0.119026	0.107543
15	0.124462	0.119026	0.107543
16	0.13786	0.132264	0.121643
17	0.136895	0.131223	0.119942
18	0.136895	0.131223	0.119942
19	0.136895	0.131223	0.119942
20	0.136895	0.131223	0.119942
21	0.161803	0.146167	0.133461
22	0.160215	0.144424	0.131884
23	0.160215	0.144424	0.131884
24	0.160215	0.144424	0.131884
25	0.160215	0.144424	0.131884
