# k	cb	gl	xy
1	0.109807	0.104709	0.10104
2	0.10647	0.0762062	0.0684819
3	0.0658282	0.0634847	0.0528332
4	0.0478092	0.057743	0.0509112
5	0.0347789	0.03271	0.030505
6	0.0261919	0.024897	0.0222438
7	0.022726	0.022898	0.0198671
8	0.0169535	0.0177651	0.0167414
9	0.0114731	0.014439	0.0156731
10	0.0097672	0.0131109	0.0125295
11	0.00964881	0.00957743	0.00912384
12	0.00709183	0.00806456	0.00902798
13	0.00509018	0.00805315	0.00667976
14	0.00446715	0.00533576	0.00555563
15	0.00351474	0.00486867	0.00423247
